index,image,title,location,price,condition
119738226,https://media.guitarcenter.com/is/image/MMGS7/224CEKDLX-Acoustic-Electric-Guitar/000000119738226-00-600x600.jpg,Used Taylor 224CEKDLX Acoustic Electric Guitar,"Clearlake, TX","$1,529.99",Excellent
119738223,https://media.guitarcenter.com/is/image/MMGS7/American-Acoustasonic-Telecaster-Acoustic-Electric-Guitar/000000119738223-00-600x600.jpg,Used Fender American Acoustasonic Telecaster Acoustic Electric Guitar,"Norman, OK","$1,499.99",Excellent
119748013,https://media.guitarcenter.com/is/image/MMGS7/AC375-Acoustic-Electric-Guitar/000000119748013-00-600x600.jpg,Used Carvin AC375 Acoustic Electric Guitar,"N. Olmsted, OH",$924.99,Excellent
119744391,https://media.guitarcenter.com/is/image/MMGS7/GPC16E-Acoustic-Electric-Guitar/000000119744391-00-600x600.jpg,Used Martin GPC16E Acoustic Electric Guitar,"Danbury, CT","$1,639.99",Excellent
119746162,https://media.guitarcenter.com/is/image/MMGS7/JERRY-CANTRELL-ATONE-SONGWRITER-Acoustic-Electric-Guitar/000000119746162-00-600x600.jpg,Used Gibson JERRY CANTRELL ATONE SONGWRITER Acoustic Electric Guitar,"N. Olmsted, OH","$3,499.99",Excellent
119739399,https://media.guitarcenter.com/is/image/MMGS7/214CE-Deluxe-Acoustic-Electric-Guitar/000000119739399-00-600x600.jpg,Used Taylor 214CE Deluxe Acoustic Electric Guitar,"Raleigh, NC","$1,299.99",Excellent
119740231,https://media.guitarcenter.com/is/image/MMGS7/GBPC-Backpacker-Steel-String-Acoustic-Guitar/000000119740231-00-600x600.jpg,Used Martin GBPC Backpacker Steel String Acoustic Guitar,"Cherry Hill, NJ",$179.99,Excellent
119744853,https://media.guitarcenter.com/is/image/MMGS7/Angelus-Standard-SE-Acoustic-Guitar/000000119744853-00-600x600.jpg,Used PRS Angelus Standard SE Acoustic Guitar,"Allen Park, MI",$574.99,Excellent
119734825,https://media.guitarcenter.com/is/image/MMGS7/AW54CEOPM-Acoustic-Electric-Guitar/000000119734825-00-600x600.jpg,Used Ibanez AW54CEOPM Acoustic Electric Guitar,"Asheville, NC",$249.99,Excellent
119742295,https://media.guitarcenter.com/is/image/MMGS7/T88ACE-Tramontane-Acoustic-Electric-Guitar/000000119742295-00-600x600.jpg,Used Lag Guitars T88ACE Tramontane Acoustic Electric Guitar,"Cincinnati, OH",$324.99,Excellent
119734089,https://media.guitarcenter.com/is/image/MMGS7/GS-Mini-Mahogany-Acoustic-Guitar/000000119734089-00-600x600.jpg,Used Taylor GS Mini Mahogany Acoustic Guitar,"Katy, TX",$534.99,Excellent
119739908,https://media.guitarcenter.com/is/image/MMGS7/812CE-12-FRET-Acoustic-Electric-Guitar/000000119739908-00-600x600.jpg,Used Taylor 812CE 12-FRET Acoustic Electric Guitar,"Fairfax, VA","$2,699.99",Excellent
119734950,https://media.guitarcenter.com/is/image/MMGS7/2023-GPC13E-Acoustic-Electric-Guitar/000000119734950-00-600x600.jpg,Used Martin 2023 GPC13E Acoustic Electric Guitar,"Nashville, TN","$1,099.99",Excellent
119742338,https://media.guitarcenter.com/is/image/MMGS7/Acoustasonic-Player-Telecaster-Acoustic-Electric-Guitar/000000119742338-00-600x600.jpg,Used Fender Acoustasonic Player Telecaster Acoustic Electric Guitar,"Southington, CT",$939.99,Excellent
119744847,https://media.guitarcenter.com/is/image/MMGS7/Excel-Lexington-Acoustic-Guitar/000000119744847-00-600x600.jpg,Used D'Angelico Excel Lexington Acoustic Guitar,"Allen Park, MI",$539.99,Excellent
119744895,https://media.guitarcenter.com/is/image/MMGS7/LX1E-Acoustic-Electric-Guitar/000000119744895-00-600x600.jpg,Used Martin LX1E Acoustic Electric Guitar,"Bridgeton, MO",$394.99,Excellent
119734747,https://media.guitarcenter.com/is/image/MMGS7/E10-OMTC-Acoustic-Guitar/000000119734747-00-600x600.jpg,Used Eastman E10 OMTC Acoustic Guitar,"Alpharetta, GA",$999.99,Excellent
119732174,https://media.guitarcenter.com/is/image/MMGS7/GPC16E-Acoustic-Electric-Guitar/000000119732174-00-600x600.jpg,Used Martin GPC16E Acoustic Electric Guitar,"San Antonio, TX","$1,539.99",Excellent
119735486,https://media.guitarcenter.com/is/image/MMGS7/RIALTO-NATURAL-RN-GT-EQ-Acoustic-Guitar/000000119735486-00-600x600.jpg,Used Godin RIALTO NATURAL RN GT EQ Acoustic Guitar,"Johnson City, NY",$679.99,Excellent
119731080,https://media.guitarcenter.com/is/image/MMGS7/A6-Baritone-Ultra-Acoustic-Electric-Guitar/000000119731080-00-600x600.jpg,Used Godin A6 Baritone Ultra Acoustic Electric Guitar,"Asheville, NC","$1,099.99",Excellent
119731071,https://media.guitarcenter.com/is/image/MMGS7/224CEKDLX-Acoustic-Electric-Guitar/000000119731071-00-600x600.jpg,Used Taylor 224CEKDLX Acoustic Electric Guitar,"Goodlettsville, TN","$1,599.99",Excellent
119740509,https://media.guitarcenter.com/is/image/MMGS7/DM260E-Acoustic-Guitar/000000119740509-00-600x600.jpg,Used Guild DM260E Acoustic Guitar,"Orange, CT",$349.99,Excellent
119740766,https://media.guitarcenter.com/is/image/MMGS7/214E-Deluxe-Acoustic-Electric-Guitar/000000119740766-00-600x600.jpg,Used Taylor 214E Deluxe Acoustic Electric Guitar,"Southington, CT","$1,149.99",Excellent
119740587,https://media.guitarcenter.com/is/image/MMGS7/SLG200S-Acoustic-Electric-Guitar/000000119740587-00-600x600.jpg,Used Yamaha SLG200S Acoustic Electric Guitar,"Braintree, MA",$519.99,Excellent
119734023,https://media.guitarcenter.com/is/image/MMGS7/Pursuit-EX-S-Concert-Exotic-Acoustic-Electric-Guitar/000000119734023-00-600x600.jpg,Used Breedlove Pursuit EX S Concert Exotic Acoustic Electric Guitar,"New Braunfels, TX",$549.99,Excellent
119742977,https://media.guitarcenter.com/is/image/MMGS7/414CE-V-Class-Acoustic-Electric-Guitar/000000119742977-00-600x600.jpg,Used Taylor 414CE V-Class Acoustic Electric Guitar,"Twin Cities, MN","$1,999.99",Excellent
119742945,https://media.guitarcenter.com/is/image/MMGS7/Hummingbird-Pro-Acoustic-Electric-Guitar/000000119742945-00-600x600.jpg,Used Epiphone Hummingbird Pro Acoustic Electric Guitar,"South Springfield, MO",$349.99,Excellent
119742975,https://media.guitarcenter.com/is/image/MMGS7/C10-Acoustic-Electric-Guitar/000000119742975-00-600x600.jpg,Used Collings C10 Acoustic Electric Guitar,"Twin Cities, MN","$3,999.99",Excellent
119743002,https://media.guitarcenter.com/is/image/MMGS7/Malibu-Player-ARG-Acoustic-Electric-Guitar/000000119743002-00-600x600.jpg,Used Fender Malibu Player ARG Acoustic Electric Guitar,"Southfield, MI",$379.99,Excellent
119731069,https://media.guitarcenter.com/is/image/MMGS7/F-250E-DELUXE-Acoustic-Electric-Guitar/000000119731069-00-600x600.jpg,Used Guild F-250E DELUXE Acoustic Electric Guitar,"Goodlettsville, TN",$499.99,Excellent
119740564,https://media.guitarcenter.com/is/image/MMGS7/PURSUIT-EX-S-CONCERT-MYRTLEWOOD-Acoustic-Electric-Guitar/000000119740564-00-600x600.jpg,Used Breedlove PURSUIT EX S CONCERT MYRTLEWOOD Acoustic Electric Guitar,"Danbury, CT",$629.99,Excellent
119731986,https://media.guitarcenter.com/is/image/MMGS7/GD93-Acoustic-Guitar/000000119731986-00-600x600.jpg,Used Takamine GD93 Acoustic Guitar,"Austin, TX",$399.99,Excellent
119740394,https://media.guitarcenter.com/is/image/MMGS7/GS-Mini-e-Acoustic-Electric-Guitar/000000119740394-00-600x600.jpg,Used Taylor GS Mini-e Acoustic Electric Guitar,"Erie, PA",$604.99,Excellent
119735277,https://media.guitarcenter.com/is/image/MMGS7/2023-LLTA-Acoustic-Electric-Guitar/000000119735277-00-600x600.jpg,Used Yamaha 2023 LLTA Acoustic Electric Guitar,"Seven Corners, VA",$824.99,Excellent
119738093,https://media.guitarcenter.com/is/image/MMGS7/314CE-Acoustic-Electric-Guitar/000000119738093-00-600x600.jpg,Used Taylor 314CE Acoustic Electric Guitar,"Orange, CT","$1,699.99",Excellent
119730667,https://media.guitarcenter.com/is/image/MMGS7/J45-Standard-Acoustic-Electric-Guitar/000000119730667-00-600x600.jpg,Used Gibson J45 Standard Acoustic Electric Guitar,"Marietta, GA","$2,179.99",Excellent
119730142,https://media.guitarcenter.com/is/image/MMGS7/Used-Enya-EA-X4-Pro-Black-Acoustic-Electric-Guitar/000000119730142-00-600x600.jpg,Used Used Enya EA-X4 Pro Black Acoustic Electric Guitar,"Denton, TX",$649.99,Excellent
119730768,https://media.guitarcenter.com/is/image/MMGS7/D16E-Acoustic-Electric-Guitar/000000119730768-00-600x600.jpg,Used Martin D16E Acoustic Electric Guitar,"Little Rock, AR","$1,499.99",Excellent
119735171,https://media.guitarcenter.com/is/image/MMGS7/E10P-Acoustic-Guitar/000000119735171-00-600x600.jpg,Used Eastman E10P Acoustic Guitar,"Johnson City, NY",$949.99,Excellent
119712914,https://media.guitarcenter.com/is/image/MMGS7/2023-HIGHWAY-SERIES-DREADNOUGHT-MAHOGANY-Acoustic-Electric-Guitar/000000119712914-00-600x600.jpg,Used Fender 2023 HIGHWAY SERIES DREADNOUGHT MAHOGANY Acoustic Electric Guitar,"Lake Forest, CA",$799.99,Excellent
119735764,https://media.guitarcenter.com/is/image/MMGS7/FG830-Acoustic-Guitar/000000119735764-00-600x600.jpg,Used Yamaha FG830 Acoustic Guitar,"Indianapolis, IN",$259.99,Excellent
